title,code
ceo,11-1011
chief executive officer ,11-1011
chief operating officer ,11-1011
commissioner of internal revenue,11-1011
coo,11-1011
county commissioner,11-1011
government service executive,11-1011
governor,11-1011
mayor,11-1011
department store general manager,11-1021
manufacturing operations manager,11-1021
television station manager,11-1021
city alderman,11-1031
city council member,11-1031
congressional representative,11-1031
councilor,11-1031
legislator,11-1031
member of congress,11-1031
selectman,11-1031
senator,11-1031
tribal council member,11-1031
advertising executive,11-2011
advertising manager,11-2011
classified advertising manager,11-2011
promotion manager,11-2011
promotions director,11-2011
vp advertising,11-2011
vp promotions ,11-2011
internet marketing manager,11-2021
marketing administrator,11-2021
vp marketing,11-2021
sales account manager,11-2022
territory sales manager,11-2022
communication manager,11-2031
fundraising director,11-2031
public affairs director,11-2031
public information director,11-2031
public information relations manager,11-2031
publicity director,11-2031
administrative services manager,11-3011
business unit manager,11-3011
application development director ,11-3021
computer operations manager,11-3021
computer security manager,11-3021
data operations director ,11-3021
data processing manager,11-3021
information systems director,11-3021
information technology director ,11-3021
information technology systems director,11-3021
internet technology manager,11-3021
management information systems director,11-3021
mis director,11-3021
banking center manager,11-3031
banking manager,11-3031
city comptroller,11-3031
city treasurer,11-3031
comptroller,11-3031
financial director,11-3031
financial officer,11-3031
fiscal manager,11-3031
international bank manager,11-3031
residential mortgage manager,11-3031
industrial production manager,11-3051
plant chief,11-3051
production control manager,11-3051
contracting manager,11-3061
director of strategic sourcing,11-3061
purchasing director,11-3061
purchasing manager ,11-3061
sourcing manager,11-3061
cold storage supervisor,11-3071
distribution center manager,11-3071
logistics supply officer,11-3071
marine oil terminal superintendent,11-3071
transportation manager,11-3071
warehouse operations manager,11-3071
compensation director,11-3111
employee benefits coordinator,11-3111
employee relations manager,11-3121
personnel administrator,11-3121
personnel director,11-3121
position description manager,11-3121
e-learning manager,11-3131
employee development director,11-3131
employee development manager,11-3131
agricultural crop farm manager,11-9013
animal husbandry manager,11-9013
aquaculture farm manager,11-9013
beef farm operator,11-9013
dairy farm manager,11-9013
greenhouse manager,11-9013
general contractor,11-9021
masonry contractor administrator,11-9021
childcare center administrator,11-9031
childcare center director,11-9031
early head start director,11-9031
head start director,11-9031
prekindergarten program coordinator,11-9031
preschool director,11-9031
elementary school principal,11-9032
high school principal,11-9032
junior high school principal,11-9032
k-12 school principal,11-9032
k-8 school principal,11-9032
middle school principal,11-9032
secondary school principal,11-9032
adult basic education manager,11-9033
continuing education director,11-9033
graduate school dean,11-9033
graduate studies dean,11-9033
provost,11-9033
university administrator,11-9033
university dean,11-9033
electrical engineering director,11-9041
engineering design manager,11-9041
engineering manager ,11-9041
engineering research manager,11-9041
global engineering manager,11-9041
mechanical engineering director,11-9041
process engineering manager,11-9041
banquet director,11-9051
banquet manager,11-9051
cafeteria director,11-9051
food and beverage manager,11-9051
restaurant general manager,11-9051
tavern operator,11-9051
funeral home director,11-9061
funeral home manager,11-9061
bingo manager,11-9071
gaming department head,11-9071
gaming director,11-9071
gaming manager,11-9071
slot operations director,11-9071
slots manager,11-9071
table games manager,11-9071
bed and breakfast innkeeper,11-9081
boardinghouse keeper,11-9081
hotel director,11-9081
hotel manager,11-9081
hotel operations manager,11-9081
innkeeper,11-9081
lodging facilities manager,11-9081
clinic director,11-9111
emergency medical service coordinator,11-9111
health care manager,11-9111
health services administrator,11-9111
health services director,11-9111
healthcare administrator,11-9111
healthcare manager,11-9111
hospice director,11-9111
hospice plan administrator,11-9111
hospital administrator,11-9111
hospital director,11-9111
medical and health information manager,11-9111
medical records administrator,11-9111
mental health program manager,11-9111
nursing home manager,11-9111
nursing service director,11-9111
occupational therapy director,11-9111
public health administrator,11-9111
respiratory therapy director ,11-9111
speech and hearing therapy director,11-9111
agricultural research director,11-9121
geochemical manager,11-9121
geophysical manager,11-9121
ocean program administrator,11-9121
postmaster,11-9131
apartment manager,11-9141
building rental manager,11-9141
community association manager ,11-9141
condominium association manager,11-9141
